AGENCY_NAME,PROGRAM_NAME,AGENCY_KEY,PROGRAM_KEY,COUNTY
Living Room,SNHAP Program (Dekalb),95,7561,DeKalb
Loaves & Fishes Ministry,Transitional Housing,3211,101,Bibb
"Lowndes Associated Ministries to People, Inc.",ESGP Shelter-Yes,2451,3139,Lowndes
"Lowndes Associated Ministries to People, Inc.",Men's Emergency Shelter,2451,7889,Lowndes
"Lowndes Associated Ministries to People, Inc.",THP-Yes,2451,2991,Lowndes
Lutheran Services of Georgia,Housing Placement Assistance,6429,7497,
Lutheran Services of Georgia,LSG-STRMU,6429,7392,
Macon Bibb County EOC Homeless Services Center,DCA- Homeless Prevention 2014,3046,6467,
Macon Bibb County EOC Homeless Services Center,DCA-Homeless Prevention,3046,4045,Bibb
Macon Bibb County EOC Homeless Services Center,DCA-Transitional Housing,3046,6465,
Macon Bibb County EOC Homeless Services Center,HUD Special Needs Housing,3046,3098,Bibb
"Making A Way Housing, Inc.",Damascus Inn,8066,4226,Fulton
"Making A Way Housing, Inc.",Daniel's Place,8066,3987,Fulton
"Making A Way Housing, Inc.",Fulton County,8066,6656,Fulton
"Making A Way Housing, Inc.",Gilead's Place,8066,3983,
"Making A Way Housing, Inc.",HOPWA,8066,6545,
"Making A Way Housing, Inc.",SNHAP/The Living Room,8066,6546,
"Making A Way Housing, Inc.",Travelers Aid,8066,6571,
"Maranatha Outreach, Inc.",Serenity Transition,3212,3701,Baldwin
Mary Hall Freedom House,Elizabeth's Place,2307,6100,Fulton
Mary Hall Freedom House,Higher Ground III,2307,6339,Fulton
Mary Hall Freedom House,Keys to Freedom,2307,7721,Fulton
Mary Hall Freedom House,Reaching New Heights,2307,215,Fulton
Mary Hall Freedom House,Trinity Hall,2307,3834,Fulton
Mary Hall Freedom House,Village of Hope,2307,6934,Fulton
McIntosh Trail CSB,SPC McIntosh Trail 0069L4B011205,3428,4569,
McIntosh Trail CSB,SPC McIntosh Trail GA0048C4B010800,3428,4570,
Middle Flint Behavioral Health Care,Shelter Plus Care,4266,1904,
"Middle Georgia Community Action Agency, Inc.",ESG Prevention DCA,10028,6414,
"Middle Georgia Community Action Agency, Inc.",Rapid ReHousing II,10028,6690,
Midtown Assistance Center,EFSP Phase 31,931,7556,
MUST Ministries,DCA ESG 2011-2012 BoS,1349,7043,
MUST Ministries,DCA ESG 2011-2012 Cobb,1349,6775,Cobb
MUST Ministries,DCA ESG 2012-2013 BoS,1349,7079,
MUST Ministries,DCA ESG 2012-2013 Cobb,1349,6938,Cobb
MUST Ministries,DCA ESG 2013-2014 BoS,1349,7376,
MUST Ministries,DCA ESG 2013-2014 Cobb,1349,7377,Cobb
MUST Ministries,ES FC  Motel Voucher,1349,6029,
MUST Ministries,ES YR SF+FC Elizabeth Inn Shelter,1349,6179,
MUST Ministries,ES YR SM Elizabeth Inn,1349,6199,
MUST Ministries,ES YR SMF Hospital Discharge,1349,6186,
MUST Ministries,PH MIX Shelter Plus Care Cherokee,1349,3110,Cherokee
MUST Ministries,PH MIX VET PSH Vets,1349,3737,
MUST Ministries,PH SMF Shelter Plus Care Cobb,1349,3736,Cobb
MUST Ministries,RRH Cobb ESG ,1349,7044,Cobb
MUST Ministries,Women's Winter Weather Shelter,1349,4176,
New Horizons Community Service Board,BOS Hotel/Motel Voucher Program,3168,7311,
New Horizons Community Service Board,BOS Shelter Plus Care,3168,6392,
New Horizons Community Service Board,Muscogee County Shelter Plus Care,3168,3194,
New Horizons Community Service Board,Rapid Rehousing Program,3168,7648,
New Horizons Community Service Board,Willow Glen,3168,4614,
New Life Community Center,Rapid Rehousing/Emergency Shelter,13748,7326,
"Nicholas House, Inc.",Boulevard,1990,591,
"Nicholas House, Inc.",H2H / Homeless to Homes-Atlanta,1990,590,
"Nicholas House, Inc.",H2H Homes to Homes- DCA,1990,7657,
"Nicholas House, Inc.",Homeless to Home/Dekalb County,1990,6733,
"Ninth District Opportunity, Inc.",(Active) ESG-P 13-14,9651,7352,
"Ninth District Opportunity, Inc.",(Active) ESG-R 13-14,9651,7351,
"Ninth District Opportunity, Inc.","(CLOSED)DCA11-12,RR,ESG-R",9651,6341,
"Ninth District Opportunity, Inc.",ESG-R (II),9651,6719,
Norcross Cooperative Ministries,ESG Prevention 2011,73,7862,
Norcross Cooperative Ministries,ESG Prevention 2012,73,6920,
Norcross Cooperative Ministries,ESG Prevention 2013,73,8092,
Norcross Cooperative Ministries,ESG Shelter 2012,73,6919,
Norcross Cooperative Ministries,ESG Shelter 2013,73,7427,
Oakhurst Recovery Program,Oakhurst Recovery,2549,3241,DeKalb
Oconee Community Service Board,Shelter Plus Care,5368,2943,
Oconee Community Service Board,Shelter Plus Care 2,5368,6216,
"Odyssey III-Community Concerns, Inc.",INACTIVE Women's TH,87,3404,
"Odyssey III-Community Concerns, Inc.",Odyssey III Rapid- Re-Housing,87,7505,
"Odyssey III-Community Concerns, Inc.",Odyssey III Women's ES,87,5959,
"Open Door Community House, Inc.",Transition Home For Women In Crisis,2821,341,Muscogee
Park Place Outreach,Basic Center,3229,1811,Chatham
"Phoenix Pass, Inc.",Transistional Housing,14608,7633,
"Phoenix Rising Center for Women, Inc.",VA WOMEN GPD PROGRAM,12588,6583,
Pineland CSB,Grant 11,6326,4541,
"Project Community Connections, Inc.",City of Atlanta ESG 2013-2014,79,7539,
"Project Community Connections, Inc.",DCA ESG 2012-2013,79,6786,
"Project Community Connections, Inc.",DCA ESG 2013-2014,79,7372,
"Project Community Connections, Inc.",DeKalb ESG 2012-2013,79,6785,
"Project Community Connections, Inc.",DeKalb KidsHome,79,6254,
"Project Community Connections, Inc.",HUD-SHP,79,3143,
"Project Community Connections, Inc.",PCCI Housing Advocacy ,79,5977,
"Project Community Connections, Inc.",PCCI-EFSP,79,5555,
"Project Community Connections, Inc.",SSVF Program,79,6866,
"Project Interconnections, Inc.",Phoenix House - S+C,6847,3284,
"Project Interconnections, Inc.",Presley Woods - S+C,6847,3283,
"Project Interconnections, Inc.",Rosalynn - S+C,6847,3282,
Quest Community Development Organization,Quest Veterans Village,4308,6442,
Quest Community Development Organization,Quest Village-Permanent Housing,4308,1928,
Quest Community Development Organization,The Leonard House,4308,4344,
Quest Community Development Organization,Transitional Housing,4308,1929,
"Rainbow Community Center, Inc.",Drug Rehabilitation Program,10508,6046,
"Rainbow Community Center, Inc.",Garden Gethsemane TH,10508,5996,
"Rainbow Community Center, Inc.",Garden of Gethsemane ES,10508,5761,Newton
"Rainbow Community Center, Inc.",Georgia Reentry Program,10508,5765,
"Rainbow Village, Inc.",Transitional Housing,7107,3427,Gwinnett
River Edge Behavioral Health Center,GA0046C4B010800/Baldwin/Bibb ,2117,5545,
River Edge Behavioral Health Center,GA0074L4B011205/S+CR,2117,3087,
River Edge Behavioral Health Center,GA0178C4B011000,2117,6367,
River Edge Behavioral Health Center,Ga01C701003/Transfer Grant,2117,6202,
River Edge Behavioral Health Center,GA0219L4B011201/MH Court ,2117,4011,
River Edge Behavioral Health Center,Grove Park,2117,3088,
River Edge Behavioral Health Center,HOPWA Transitional,2117,7371,
River Edge Behavioral Health Center,TANF Transitional Housing,2117,5806,Bibb
River Edge Behavioral Health Center,Tenant Based Rental Assistance,2117,7474,
Rockdale Emergency Relief Fund,ESG:  Hotel/Motel,1342,7069,
Rockdale Emergency Relief Fund,ESG:  Prevention,1342,6645,
Rockdale Emergency Relief Fund,ESG:  Rapid Re-Housing 2011-2012,1342,6973,
Rockdale Emergency Relief Fund,ESG:  Rapid Re-Housing 2013-2014,1342,7068,
Rockdale Emergency Relief Fund,ESG: Rapid Re-Housing 2012-2013,1342,6988,
Safe Harbor Children's Center,Safe Harbor Children Center,14348,7529,
Saint Stephens Ministries,Transitional Housing Program,2173,268,Richmond
South Georgia CSB - Behavioral Health Svcs,Chronically homeless,5261,6863,
South Georgia CSB - Behavioral Health Svcs,Shelter Plus Care,5261,2908,
South Georgia Partnership to End Homelessness,Transitional Housing,1970,6032,
"Southwest Georgia Community Action Council, Inc.",DCA ESG 12-13 RRH,11028,7030,
"Southwest Georgia Community Action Council, Inc.",DCA ESG Prev 13-14,11028,7653,
"Southwest Georgia Community Action Council, Inc.",DCA ESG Rapid RH 13-14,11028,7652,
"Southwest Georgia Community Action Council, Inc.",DCA-ESG11-12 RRH,11028,6992,
"Southwest Georgia Community Action Council, Inc.",DCA-ESG12-13 PREV,11028,6991,
"St Judes Recovery Center, Inc.",Candler Forrest,1201,3961,
"St Judes Recovery Center, Inc.",Men's Residential,1201,202,Fulton
"St Judes Recovery Center, Inc.",Project Open Arms,1201,6906,
"St Judes Recovery Center, Inc.",Women's Residential,1201,206,Fulton
St. Vincent de Paul Society - Cobb County,House of Dreams,13028,6501,
The Center for Family Resources,ES_FC_Short Term ,1601,1093,Cobb
The Center for Family Resources,HP_FC_CFR,1601,6551,
The Center for Family Resources,HP_FC_CFR_Cobb ESG,1601,7201,Cobb
The Center for Family Resources,TH_FC_MAG,1601,1879,Cobb
The Center for Family Resources,TH_FC_Offsite,1601,1880,Cobb
The Center for Family Resources,TH_FC_Onsite,1601,1877,Cobb
The Drake House,The Drake House,7226,3439,Fulton
The Extension,ES-SEAS-SM-emergency shelter,1891,3749,
The Extension,TH-F-CD,1891,4301,Cobb
The Extension,TH-SM-CD-Extension,1891,1804,Cobb
The Extension,TH-SM-CD-STABLE,1891,4019,Cobb
"The Hope Shelter, Inc.",Emergency Shelter Program,7108,3504,Clayton
The IMPACT! Group,IMPACT! Rapid ReHousing 2013-2014,1352,7386,
The IMPACT! Group,SHP1,1352,3767,Gwinnett
The IMPACT! Group,SHP2,1352,3775,Gwinnett
The IMPACT! Group,SHP3,1352,3769,Gwinnett
The Point Ministries - Starting Point,The Point,14208,7334,
The Quilt Transitional Services,S.O.L.E. ,13349,7000,
The Quilt Transitional Services,S.O.L.E. Waiting List,13349,7033,
The Salvation Army  - Red Shield Services,Dekalb Emergency Families,934,7508,DeKalb
The Salvation Army  - Red Shield Services,Dekalb Emergency Singles,934,7507,DeKalb
The Salvation Army  - Red Shield Services,Dorm Monitor,934,7510,Fulton
The Salvation Army  - Red Shield Services,Emergency Assessment ,934,3529,
The Salvation Army  - Red Shield Services,Family Emergency Assessment Program,934,4500,Fulton
The Salvation Army  - Red Shield Services,Family Program,934,137,Fulton
The Salvation Army  - Red Shield Services,Housing Stability Program,934,7587,
The Salvation Army  - Red Shield Services,Savings Program,934,139,Fulton
The Salvation Army  - Red Shield Services,Special Needs Program,934,140,Fulton
The Salvation Army  - Red Shield Services,Supportive Emergency Men,934,3530,
The Salvation Army  - Red Shield Services,Supportive Emergency Women,934,7697,
The Salvation Army  - Red Shield Services,Veterans Halfway House,934,5746,
The Salvation Army  - Red Shield Services,Veterans on the Move,934,142,Fulton
The Salvation Army - Albany,ESGP,2957,406,Dougherty
The Salvation Army - Albany,Womens,2957,6750,
The Salvation Army - Athens,Men's Shelter Program,2394,3564,Clarke
The Salvation Army - Athens,Women and Children's Shelter,2394,3569,Clarke
The Salvation Army - Brunswick,Emergency Shelter,9408,5429,Glynn
The Salvation Army - Cobb Marietta,DCA ESG,4326,6597,
The Salvation Army - Columbus,Emergency Homeless Shelter,2270,605,Muscogee
The Salvation Army - Dalton,Transitional Housing,9268,4558,Whitfield
The Salvation Army - Gainesville,Emergency Shelter,7886,3904,Hall
The Salvation Army - Gainesville,Transitional Housing,7886,7139,
The Salvation Army - Jonesboro,Home Sweet Home Supportive Housing ,1301,6665,
The Salvation Army - LaGrange,Christmas Assistance,4228,4465,
The Salvation Army - Lawrenceville,Home Sweet Home - GCCDP ESG-P,3826,6907,
The Salvation Army - Lawrenceville,Home Sweet Home - GCCDP ESG-RR,3826,6703,
The Salvation Army - Lawrenceville,Home Sweet Home - RR-LF,3826,6746,
The Salvation Army - Lawrenceville,Home Sweet Home - SHP LF,3826,6798,
The Salvation Army - Lawrenceville,Home Sweet Home GCCDP ESG-Hotel,3826,7058,
The Salvation Army - Lawrenceville,Home Sweet Home Suppotive Housing,3826,6659,
The Salvation Army - Lawrenceville,Home Sweet Home-DCA ESG-RR,3826,6834,
The Salvation Army - Lawrenceville,Home Sweet Home-DCA ESG-RR 13/14,3826,7584,
The Salvation Army - Macon,ESGP Shelter,2110,4564,Bibb
The Salvation Army - Peachcrest,DeKalb ESG,10768,5921,DeKalb
The Salvation Army - Peachcrest,Dekalb ESG  ,10768,7048,DeKalb
The Salvation Army - Rome,TSA Shelter,9841,5227,
The Salvation Army - Savannah,City of Savannah Prevention Program,3246,7605,
The Salvation Army - Savannah,CSRC,3246,174,Chatham
The Salvation Army - Savannah,DCA-Prevention,3246,6266,
The Salvation Army - Savannah,FEMA- Prevention,3246,6284,
The Salvation Army - Savannah,Seasonal Beds,3246,7142,
The Salvation Army - Savannah,The Salvation Army-Savannah,3246,305,Chatham
The Salvation Army - Savannah,Transitional,3246,304,Chatham
The Salvation Army - Thomasville,The Needham House,3503,4269,Thomas
The Salvation Army - Toccoa,ESP,9844,7842,
The Salvation Army - Valdosta,Men's Emergency Shelter,3522,534,Lowndes
The Salvation Army Division - Compliance Only,Rapid ReHousing II ,9448,6698,
The Sullivan Center,Direct Assistance Program,924,898,
The Temple-Zaban Couples Center,Rapid Re-Housing II,3886,6702,
The Temple-Zaban Couples Center,Zaban Couples Center,3886,826,Fulton
"The Well at Chattooga, Inc",Emergency Shelter,8250,4094,Chattooga
"Threshold to Freedom, Inc.",Threshold To Freedom Inc.,11868,5908,
"Transition House, Inc.",Community Court,3248,3920,
"Transition House, Inc.",Supportive Housing Program,3248,3923,DeKalb
"Transition House, Inc.",VA Per Diem Program,3248,176,DeKalb
Travelers Aid of Metro Atlanta,Atlanta SHP (Atlanta),940,7435,
Travelers Aid of Metro Atlanta,Atlanta SHP (Fulton),940,3040,Fulton
Travelers Aid of Metro Atlanta,COA ESG-Prevention,940,6878,
Travelers Aid of Metro Atlanta,COA-ESG,940,6881,
Travelers Aid of Metro Atlanta,Cobb Condos,940,3615,Cobb
Travelers Aid of Metro Atlanta,Cobb County Hotels,940,5269,Cobb
Travelers Aid of Metro Atlanta,Cobb ESG,940,3079,Cobb
Travelers Aid of Metro Atlanta,Cobb SHP,940,73,Cobb
Travelers Aid of Metro Atlanta,Columbia - Park Commons,940,6921,
Travelers Aid of Metro Atlanta,Columbia - Sylvan Hills,940,6922,
Travelers Aid of Metro Atlanta,Columbia Tower,940,6923,
Travelers Aid of Metro Atlanta,DCA Lodging,940,3816,Fulton
Travelers Aid of Metro Atlanta,DeKalb ESG - Prevention,940,6083,DeKalb
Travelers Aid of Metro Atlanta,DeKalb ESG - Rapid Re-Housing,940,6810,DeKalb
Travelers Aid of Metro Atlanta,Dekalb Shelter,940,6969,DeKalb
Travelers Aid of Metro Atlanta,Douglas SHP Expansion,940,76,Douglas
Travelers Aid of Metro Atlanta,Douglas SHP Renewal,940,75,Douglas
Travelers Aid of Metro Atlanta,Gwinnett Harm Reduction Program,940,7833,Gwinnett
Travelers Aid of Metro Atlanta,Gwinnett S+C,940,5814,Gwinnett
Travelers Aid of Metro Atlanta,Gwinnett SHP,940,74,Gwinnett
Travelers Aid of Metro Atlanta,HOPWA  TH (Fulton),940,3085,Fulton
Travelers Aid of Metro Atlanta,HOPWA Emergency Lodging,940,3817,Fulton
Travelers Aid of Metro Atlanta,HOPWA S+C,940,6859,
Travelers Aid of Metro Atlanta,HOPWA TH (Atlanta),940,7549,
Travelers Aid of Metro Atlanta,HOPWA TH (Dekalb),940,7548,DeKalb
Travelers Aid of Metro Atlanta,HOWPA PH (Fulton),940,4290,Fulton
Travelers Aid of Metro Atlanta,Pavilion Place,940,6924,
Travelers Aid of Metro Atlanta,Reunification 2014,940,7597,
Travelers Aid of Metro Atlanta,SSVF - Rapid ReHousing ,940,6883,
Travelers Aid of Metro Atlanta,SSVF (HOPE),940,7374,
Travelers Aid of Metro Atlanta,SSVF (HOPE),940,7375,
Travelers Aid of Metro Atlanta,SSVF Program,940,6867,
Travelers Aid of Metro Atlanta,Woods at Glenrose,940,6926,
Trinity Community Ministries,Trinity Cares,81,7650,
Trinity Community Ministries,Trinity House - Big Bethel,81,367,
Trinity Community Ministries,Trinity Living,81,6649,
Turner Hill Community Development Corporation,Men's Residential Program,6566,3562,
"Union Mission, Inc.", Eagles Point,3037,1821,
"Union Mission, Inc.",Beyond Grace,3037,2968,
"Union Mission, Inc.",Daniel-Flagg Villas,3037,4184,
"Union Mission, Inc.",Dutchtown DCA/ SRO Apts,3037,1817,
"Union Mission, Inc.",Eagles Landing- SHP,3037,3158,
"Union Mission, Inc.",Grace House,3037,112,
"Union Mission, Inc.",Magdalene Project,3037,1824,
"Union Mission, Inc.",Phoenix House,3037,4183,
"Union Mission, Inc.",Prison Re-entry Program,3037,7754,
"Union Mission, Inc.",Shelter Plus Care Renewal Grant,3037,7240,
Unison Behavioral Health,S+C Combine 0328,4306,6855,
United Way - Collaborative PATH Team,CPT,7746,5466,Fulton
United Way - Collaborative PATH Team,CPT non PATH ,7746,5726,Fulton
United Way - Collaborative PATH Team,CPT Veterans Program,7746,6349,
United Way of Metropolitan Atlanta - SSVF,SSVF - Another Chance,8106,7406,
United Way of Metropolitan Atlanta - SSVF,SSVF - Another Chance,8106,7407,
United Way of Metropolitan Atlanta - SSVF,SSVF - Recovery Consultants of Atl,8106,7416,
United Way of Metropolitan Atlanta - SSVF,SSVF - Recovery Consultants of Atl,8106,7415,
United Way of Metropolitan Atlanta - SSVF,SSVF - Veteran Empowerment Org,8106,7418,
United Way of Metropolitan Atlanta - SSVF,SSVF - Veteran Empowerment Org,8106,7417,
United Way of Metropolitan Atlanta - SSVF,SSVF- United Way,8106,7400,
United Way of Metropolitan Atlanta - SSVF,SSVF- United Way,8106,7401,
United Way of the CSRA (2-1-1),Vouchers for Shelter Program,2146,3498,
Urban Residential Development Corporation,S+C Tracewood Apartments,3326,6101,
Urban Residential Development Corporation,Section 8,3326,4556,
Urban Residential Development Corporation,Shelter Plus Care URDC S+CR,3326,4555,
Veterans Empowerment Organization of Georgia,VEO Male Transistional Housing,10828,5709,Fulton
Veterans Empowerment Organization of Georgia,VEO Permanent Supportive Housing,10828,5708,
Viewpoint Health,ESG Gwinnett,3767,6997,
Viewpoint Health,Harm Reduction,3767,8309,
Viewpoint Health,Viewpoint CSB S+CR GA0061L,3767,788,
Viewpoint Health,Viewpoint S+CR - Samaritan GA0218L,3767,6560,
"Vision 21 Concepts, Inc.",Men's Assessment Center,7866,6929,
"Vision 21 Concepts, Inc.",Re-Entry Partnership,7866,6965,
"Vision 21 Concepts, Inc.",The Door Program,7866,4213,
"Vision 21 Concepts, Inc.",Women's Housing,7866,7649,
Voluntary Action Center,The Bridge  Emergency Shelter,10888,5596,Gordon
"Young Adult Guidance Center, Inc.",Shelter ,3228,3676,Fulton
"Young Adult Guidance Center, Inc.",Transitional Housing Program,3228,157,Fulton
Zion Hill Community Development Corporation,Supportive Housing Program,7487,5588,
Zion Keepers Inc,PH-SM-Vet-CD-Project Hope,7106,3387,
Zion Keepers Inc,PH-SM-Vet-CD-Project Hope2,7106,6951,
